stage_name,stage_no,stage_color,stage_max_ma,stage_min_ma,epoch_name,epoch_color,epoch_max_ma,epoch_min_ma,epoch_no
Holocene,99,#FEF2E0,0.0117,0,Holocene,#FEF2E0,0.0117,0,34
Late Pleistocene,98,#FFF2D3,0.126,0.0117,Pleistocene,#FFF2AE,2.588,0.0117,33
Middle Pleistocene,97,#FFF2C7,0.781,0.126,Pleistocene,#FFF2AE,2.588,0.0117,33
Calabrian,96,#FFF2BA,1.806,0.781,Pleistocene,#FFF2AE,2.588,0.0117,33
Gelasian,95,#FFEDB3,2.588,1.806,Pleistocene,#FFF2AE,2.588,0.0117,33
Piacenzian,94,#FFFFBF,3.6,2.588,Pliocene,#FFFF99,5.333,2.588,32
Zanclean,93,#FFFFB3,5.333,3.6,Pliocene,#FFFF99,5.333,2.588,32
Messinian,92,#FFFF73,7.246,5.333,Miocene,#FFFF00,23.03,5.333,31
Tortonian,91,#FFFF66,11.62,7.246,Miocene,#FFFF00,23.03,5.333,31
Serravallian,90,#FFFF59,13.82,11.62,Miocene,#FFFF00,23.03,5.333,31
Langhian,89,#FFFF4D,15.97,13.82,Miocene,#FFFF00,23.03,5.333,31
Burdigalian,88,#FFFF41,20.44,15.97,Miocene,#FFFF00,23.03,5.333,31
Aquitanian,87,#FFFF33,23.03,20.44,Miocene,#FFFF00,23.03,5.333,31
Chattian,86,#FEE6AA,28.1,23.03,Oligocene,#FDC07A,33.9,23.03,30
Rupelian,85,#FED99A,33.9,28.1,Oligocene,#FDC07A,33.9,23.03,30
Priabonian,84,#FDCDA1,38,33.9,Eocene,#FDB46C,56,33.9,29
Bartonian,83,#FDC091,41.3,38,Eocene,#FDB46C,56,33.9,29
Lutetian,82,#FCB482,47.8,41.3,Eocene,#FDB46C,56,33.9,29
Ypresian,81,#FCA773,56,47.8,Eocene,#FDB46C,56,33.9,29
Thanetian,80,#FDBF6F,59.2,56,Paleocene,#FDA75F,66,56,28
Selandian,79,#FEBF65,61.6,59.2,Paleocene,#FDA75F,66,56,28
Danian,78,#FDB462,66,61.6,Paleocene,#FDA75F,66,56,28
Maastrichtian,77,#F2FA8C,72.1,66,Late Cretaceous,#A6D84A,100.5,66,27
Campanian,76,#E6F47F,83.6,72.1,Late Cretaceous,#A6D84A,100.5,66,27
Santonian,75,#D9EF74,86.3,83.6,Late Cretaceous,#A6D84A,100.5,66,27
Coniacian,74,#CCE968,89.8,86.3,Late Cretaceous,#A6D84A,100.5,66,27
Turonian,73,#BFE35D,93.9,89.8,Late Cretaceous,#A6D84A,100.5,66,27
Cenomanian,72,#B3DE53,100.5,93.9,Late Cretaceous,#A6D84A,100.5,66,27
Albian,71,#CCEA97,113,100.5,Early Cretaceous,#8CCD57,145,100.5,26
Aptian,70,#BFE48A,125,113,Early Cretaceous,#8CCD57,145,100.5,26
Barremian,69,#B3DF7F,129.4,125,Early Cretaceous,#8CCD57,145,100.5,26
Hauterivian,68,#A6D975,132.9,129.4,Early Cretaceous,#8CCD57,145,100.5,26
Valanginian,67,#99D36A,139.8,132.9,Early Cretaceous,#8CCD57,145,100.5,26
Berriasian,66,#8CCD60,145,139.8,Early Cretaceous,#8CCD57,145,100.5,26
Tithonian,65,#D9F1F7,152.1,145,Late Jurassic,#B3E3EE,163.5,145,25
Kimmeridgian,64,#CCECF4,157.3,152.1,Late Jurassic,#B3E3EE,163.5,145,25
Oxfordian,63,#BFE7F1,163.5,157.3,Late Jurassic,#B3E3EE,163.5,145,25
Callovian,62,#BFE7E5,166.1,163.5,Middle Jurassic,#80CFD8,174.1,163.5,24
