Eonothem_Eon,Eon_Group,Erathem_Era,System_Period,Series_Epoch,Stage_Age,GSSP,Num_Age_From,Margin
Phanerozoic,,Cenozoic,Quaternary,Holocene,Holocene,1,0.0117,0
Phanerozoic,,Cenozoic,Quaternary,Pleistocene,Upper,0,0.126,0
Phanerozoic,,Cenozoic,Quaternary,Pleistocene,Middle,0,0.781,0
Phanerozoic,,Cenozoic,Quaternary,Pleistocene,Calabrian,1,1.8,0
Phanerozoic,,Cenozoic,Quaternary,Pleistocene,Gelasian,1,2.58,0
Phanerozoic,Tertiary,Cenozoic,Neogene,Pliocene,Piacenzian,1,3.6,0
Phanerozoic,Tertiary,Cenozoic,Neogene,Pliocene,Zanclean,1,5.333,0
Phanerozoic,Tertiary,Cenozoic,Neogene,Miocene,Messinian,1,7.246,0
Phanerozoic,Tertiary,Cenozoic,Neogene,Miocene,Tortonian,1,11.63,0
Phanerozoic,Tertiary,Cenozoic,Neogene,Miocene,Serravallian,1,13.82,0
Phanerozoic,Tertiary,Cenozoic,Neogene,Miocene,Langhian,0,15.97,0
Phanerozoic,Tertiary,Cenozoic,Neogene,Miocene,Burdigalian,0,20.44,0
Phanerozoic,Tertiary,Cenozoic,Neogene,Miocene,Aquitanian,1,23.03,0
Phanerozoic,Tertiary,Cenozoic,Paleogene,Oligocene,Chattian,1,27.82,0
Phanerozoic,Tertiary,Cenozoic,Paleogene,Oligocene,Rupelian,1,33.9,0
Phanerozoic,Tertiary,Cenozoic,Paleogene,Eocene,Priabonian,0,37.8,0
Phanerozoic,Tertiary,Cenozoic,Paleogene,Eocene,Bartonian,0,41.2,0
Phanerozoic,Tertiary,Cenozoic,Paleogene,Eocene,Lutetian,1,47.8,0
Phanerozoic,Tertiary,Cenozoic,Paleogene,Eocene,Ypresian,1,56,0
Phanerozoic,Tertiary,Cenozoic,Paleogene,Paleocene,Thanetian,1,59.2,0
Phanerozoic,Tertiary,Cenozoic,Paleogene,Paleocene,Selandian,1,61.6,0
Phanerozoic,Tertiary,Cenozoic,Paleogene,Paleocene,Danian,1,66,0
Phanerozoic,,Mesozoic,Cretaceous,Upper,Maastrichtian,1,72.1,0.2
Phanerozoic,,Mesozoic,Cretaceous,Upper,Campanian,0,83.6,0.2
Phanerozoic,,Mesozoic,Cretaceous,Upper,Santonian,1,86.3,0.5
Phanerozoic,,Mesozoic,Cretaceous,Upper,Coniacian,0,89.8,0.3
Phanerozoic,,Mesozoic,Cretaceous,Upper,Turonian,1,93.9,0
Phanerozoic,,Mesozoic,Cretaceous,Upper,Cenomanian,1,100.5,0
Phanerozoic,,Mesozoic,Cretaceous,Lower,Albian,1,113,0
Phanerozoic,,Mesozoic,Cretaceous,Lower,Aptian,0,125,0
Phanerozoic,,Mesozoic,Cretaceous,Lower,Barremian,0,129.4,0
Phanerozoic,,Mesozoic,Cretaceous,Lower,Hauterivian,0,132.9,0
Phanerozoic,,Mesozoic,Cretaceous,Lower,Valanginian,0,139.8,0
Phanerozoic,,Mesozoic,Cretaceous,Lower,Berriasian,0,145,0
Phanerozoic,,Mesozoic,Jurassic,Upper,Tithonian,0,152.1,0.9
Phanerozoic,,Mesozoic,Jurassic,Upper,Kimmeridgian,0,157.3,1
